frame_number,box_x,box_y,box_w,box_h,conf,label,user_id,region
25,1708,416,66,189,0.6059194,person,16,
26,1134,400,114,262,0.77492,person,1,atm
26,271,551,127,276,0.87098795,person,2,
26,1456,466,94,241,0.6882429,person,3,
26,1536,558,151,296,0.81033975,person,4,
26,334,558,105,240,0.8262496,person,5,
26,1202,252,71,118,0.4140589,person,6,
26,92,635,151,293,0.82069045,person,7,
26,499,503,113,316,0.72524697,person,8,entrance
26,181,558,98,238,0.7827554,person,9,
26,1728,534,110,216,0.7995328,person,11,
26,408,537,94,252,0.7519605,person,12,
26,1253,392,90,234,0.7401321,person,13,atm
26,1624,340,99,153,0.5641679,person,15,
26,1708,418,65,186,0.414923,person,16,
27,1130,399,114,262,0.80392456,person,1,atm
27,271,551,128,275,0.8742427,person,2,
27,1450,464,85,236,0.4662399,person,3,
27,1529,552,136,287,0.72989076,person,4,
27,334,558,105,240,0.8351596,person,5,
27,1202,252,70,117,0.24339521,person,6,
27,91,636,150,291,0.81371737,person,7,
27,499,504,113,312,0.7264703,person,8,entrance
27,181,557,97,237,0.7816446,person,9,
27,1722,533,112,215,0.76636624,person,11,
27,407,538,95,251,0.7498102,person,12,
27,1246,389,83,232,0.32406768,person,13,atm
27,1623,349,96,174,0.5978672,person,15,
27,1707,419,66,186,0.2962657,person,16,
28,1126,398,113,261,0.8081079,person,1,atm
28,271,551,128,276,0.8696645,person,2,
28,1525,546,127,280,0.7069672,person,4,
28,334,558,105,239,0.8420898,person,5,
28,90,639,149,284,0.8009204,person,7,
28,499,504,111,311,0.74172366,person,8,entrance
28,181,557,97,237,0.8057279,person,9,
28,1715,533,118,218,0.7121232,person,11,
28,407,537,96,252,0.75627446,person,12,
28,1227,360,102,279,0.6267952,person,13,atm
28,1624,354,93,182,0.4925637,person,15,
28,1712,421,57,187,0.1575373,person,16,
29,1120,397,113,262,0.81903374,person,1,atm
29,271,551,128,276,0.87131286,person,2,
29,1520,548,114,283,0.7894106,person,4,
29,334,558,104,239,0.83571583,person,5,
29,90,640,148,280,0.7877442,person,7,
29,499,503,111,312,0.6654602,person,8,entrance
29,181,557,98,237,0.7971408,person,9,
29,1710,532,118,221,0.7575587,person,11,
29,408,537,96,252,0.7574495,person,12,
29,1214,349,103,294,0.75955904,person,13,atm
29,1621,358,98,191,0.54785657,person,15,
29,1713,419,54,182,0.1789767,person,16,
29,1430,472,98,254,0.618437,person,3,
30,1117,395,111,261,0.8089164,person,1,atm
30,270,551,127,276,0.86088836,person,2,
30,1519,548,109,286,0.7843813,person,4,
30,334,557,105,237,0.81871223,person,5,
30,90,639,148,279,0.8286339,person,7,
30,499,502,111,313,0.6378912,person,8,entrance
30,181,557,97,237,0.82951164,person,9,
30,1707,531,116,223,0.4729197,person,11,
30,407,537,98,253,0.75823456,person,12,
30,1209,343,102,301,0.81176853,person,13,
30,1632,357,124,190,0.5398334,person,15,
30,1712,419,56,184,0.26457176,person,16,
30,1426,477,100,255,0.7252267,person,3,
31,1114,394,108,262,0.86338586,person,1,atm
31,270,551,127,276,0.86327475,person,2,
31,1517,546,109,285,0.82749003,person,4,
31,334,557,105,238,0.83204645,person,5,
31,91,639,150,278,0.8261652,person,7,
31,499,501,112,313,0.6527836,person,8,entrance
31,180,558,97,237,0.8204195,person,9,
31,1704,528,111,219,0.73455405,person,11,
31,407,536,98,252,0.7626257,person,12,
31,1204,342,97,305,0.7408761,person,13,
31,1625,358,115,191,0.5491412,person,15,
31,1710,421,60,187,0.4698832,person,16,
31,1424,473,95,251,0.39651188,person,3,
32,1112,390,108,261,0.85827804,person,1,atm
32,270,551,127,276,0.86209106,person,2,
32,1506,545,120,283,0.8224806,person,4,
32,334,558,105,238,0.82617253,person,5,
32,91,639,150,279,0.8281751,person,7,
32,498,501,112,313,0.60746413,person,8,entrance
32,180,558,97,236,0.8206995,person,9,
32,1700,525,105,216,0.7099315,person,11,
32,407,536,99,252,0.76377547,person,12,
32,1201,339,95,300,0.5319642,person,13,
32,1618,360,113,194,0.5542189,person,15,
32,1708,423,62,189,0.37902385,person,16,
32,1416,471,104,253,0.5369134,person,3,
33,1106,386,98,256,0.8433693,person,1,atm
33,270,551,127,277,0.8660301,person,2,
33,1497,540,134,288,0.8507395,person,4,
33,334,558,105,237,0.8314547,person,5,
33,90,640,149,280,0.8244992,person,7,
33,498,502,112,313,0.6101918,person,8,entrance
33,181,557,97,236,0.8237738,person,9,
33,1698,523,100,216,0.7604055,person,11,
33,407,536,99,251,0.7620381,person,12,
33,1199,339,91,300,0.46027195,person,13,
33,1616,361,111,195,0.5595983,person,15,
33,1708,421,63,184,0.25850207,person,16,
33,1402,464,126,243,0.60382766,person,3,
34,1102,384,98,257,0.8247357,person,1,atm
34,270,551,127,277,0.86691236,person,2,
34,1484,540,149,282,0.8348372,person,4,
34,334,558,105,235,0.8241829,person,5,
34,90,641,148,281,0.83421355,person,7,
34,498,501,112,313,0.61866415,person,8,entrance
34,181,557,96,237,0.813862,person,9,
34,1695,520,95,216,0.8202086,person,11,
34,406,535,100,251,0.7630234,person,12,
34,1203,339,96,301,0.81742275,person,13,
34,1616,361,106,195,0.62766004,person,15,
34,1706,421,66,183,0.27720803,person,16,
34,1390,466,135,231,0.22263764,person,3,
35,1093,383,92,258,0.85487276,person,1,atm
35,270,551,127,277,0.8646717,person,2,
35,1469,539,156,281,0.8825734,person,4,
35,334,558,106,237,0.8156865,person,5,
35,90,641,148,282,0.833606,person,7,
35,498,501,112,314,0.6361415,person,8,entrance
35,181,557,96,237,0.81366485,person,9,
35,1693,518,92,217,0.84249717,person,11,
35,406,535,99,250,0.76039714,person,12,
35,1192,338,110,298,0.63131565,person,13,
35,1619,361,113,194,0.43380353,person,15,
35,1707,420,65,180,0.102779865,person,16,
35,1381,458,137,224,0.59374094,person,3,
36,1086,382,91,258,0.86385816,person,1,atm
36,271,551,127,277,0.8629765,person,2,
36,1457,539,159,279,0.86552304,person,4,
36,334,558,106,238,0.81893486,person,5,
36,89,642,148,283,0.8334932,person,7,
36,498,501,112,314,0.6557934,person,8,entrance
36,181,557,95,236,0.8140078,person,9,
36,1690,516,86,219,0.8045409,person,11,
36,407,534,99,249,0.7670512,person,12,
36,1184,371,102,235,0.5764075,person,13,atm
36,1616,361,108,193,0.52829945,person,15,
36,1709,416,59,174,0.108527504,person,16,
36,1376,455,137,221,0.45961595,person,3,
37,1080,381,94,259,0.8878296,person,1,atm
37,270,551,127,276,0.8592211,person,2,
37,1449,533,161,290,0.7477548,person,4,
37,334,559,106,240,0.8100424,person,5,
37,89,642,145,285,0.83473736,person,7,
37,498,501,112,315,0.65033156,person,8,entrance
37,181,558,95,236,0.81090754,person,9,
37,1685,515,91,218,0.8331054,person,11,
37,405,535,99,250,0.7719888,person,12,
37,1188,382,111,218,0.43165317,person,13,atm
37,1615,361,106,192,0.5403319,person,15,
37,1714,395,49,133,0.30147022,person,16,
37,1376,455,130,229,0.7549666,person,3,
38,1075,380,98,259,0.87338847,person,1,atm
38,270,551,127,276,0.85997033,person,2,
38,1447,535,144,285,0.8665074,person,4,
38,333,559,107,240,0.8261094,person,5,
38,89,643,144,284,0.83046174,person,7,
